,k-means clusters 100
0,2
1,0
2,1
3,2
4,2
5,2
6,1
7,2
8,0
9,1
10,2
11,2
12,0
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,2
21,2
22,2
23,1
24,2
25,2
26,2
27,2
28,1
29,2
30,2
31,2
32,2
33,0
34,1
35,2
36,2
37,0
38,1
39,2
40,2
41,1
42,1
43,1
44,2
45,2
46,1
47,2
48,2
49,2
50,2
51,2
52,2
53,1
54,2
55,2
56,0
57,2
58,1
59,2
60,2
61,2
62,2
63,1
64,2
65,0
66,2
67,2
68,2
69,0
70,2
71,2
72,2
73,1
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,0
82,1
83,2
84,2
85,1
86,2
87,2
88,2
89,2
90,2
91,2
92,1
93,1
94,1
95,2
96,2
97,2
98,2
99,2
