,k-means clusters 100
0,0
1,1
2,2
3,1
4,2
5,2
6,2
7,1
8,2
9,2
10,1
11,2
12,2
13,2
14,2
15,0
16,2
17,2
18,0
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,1
28,2
29,1
30,2
31,2
32,0
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,0
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,1
58,2
59,2
60,2
61,0
62,2
63,2
64,2
65,2
66,0
67,2
68,2
69,2
70,2
71,2
72,2
73,0
74,2
75,1
76,2
77,2
78,1
79,2
80,1
81,2
82,2
83,2
84,2
85,0
86,2
87,1
88,0
89,2
90,2
91,2
92,2
93,2
94,0
95,2
96,2
97,1
98,2
99,2
