,k-means clusters 100
0,1
1,1
2,2
3,2
4,1
5,0
6,2
7,1
8,0
9,2
10,0
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,2
19,2
20,0
21,2
22,2
23,1
24,0
25,2
26,1
27,2
28,2
29,2
30,1
31,0
32,1
33,2
34,0
35,2
36,0
37,2
38,1
39,1
40,1
41,2
42,1
43,1
44,1
45,0
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,1
55,1
56,2
57,2
58,1
59,1
60,1
61,1
62,2
63,1
64,0
65,2
66,1
67,1
68,0
69,2
70,1
71,1
72,1
73,2
74,1
75,2
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,2
84,0
85,1
86,1
87,2
88,0
89,2
90,1
91,1
92,2
93,0
94,2
95,2
96,1
97,2
98,1
99,1
